session_id,participant_code,participant_type,age_group,language,mfa_before,mfa_after,screen_lock_before,screen_lock_after,bank_limit_before,bank_limit_after,scam_quiz_score_before,scam_quiz_score_after,used_public_wifi,has_home_wifi_issues,scanned_unknown_qr,used_public_qr_for_payment,installed_unknown_apps,os_out_of_date,inserted_unknown_usb,used_public_usb_charger,shares_device_without_lock,password_reuse,has_password_manager,fell_for_social_link_or_call,risk_score_before,risk_score_after,risk_category_before,risk_category_after,date,notes
2025-11-15,P001,senior,61,en,1,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0,1,1,0,0,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P002,senior,68,en,0,1,0,1,0,1,5,5,1,0,1,1,0,1,0,0,1,0,0,0,9,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P003,senior,55,en,0,1,1,1,0,0,3,5,0,0,0,0,0,1,1,0,0,0,0,0,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P004,senior,59,en,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P005,senior,66,en,0,1,0,1,0,0,2,5,0,1,0,1,0,1,0,0,1,1,0,0,10,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P006,senior,57,en,1,1,0,1,1,1,4,4,0,1,0,1,0,1,1,0,1,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P007,senior,60,en,1,1,1,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,3,1,low,low,2025-11-15,synthetic sample row
2025-11-15,P008,senior,61,en,1,1,0,1,0,0,2,3,0,1,1,1,1,1,0,0,1,0,0,0,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P009,senior,64,en,1,1,1,1,0,0,5,5,1,0,0,1,0,1,0,0,0,0,0,1,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P010,senior,69,en,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P011,senior,57,en,0,0,1,1,0,0,2,3,1,1,0,1,1,0,1,0,1,0,0,0,10,10,high,high,2025-11-15,synthetic sample row
2025-11-15,P012,senior,56,en,1,1,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,3,2,low,low,2025-11-15,synthetic sample row
2025-11-15,P013,senior,56,en,0,1,0,0,0,1,5,5,1,0,1,0,0,1,0,0,1,0,0,0,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P014,senior,62,en,1,1,0,1,0,0,3,5,0,0,1,1,0,0,0,1,0,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P015,senior,68,en,0,1,1,1,1,1,2,3,1,0,1,0,0,0,0,0,0,1,0,1,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P016,senior,55,en,0,1,0,0,0,1,2,5,1,0,1,1,1,0,1,0,0,0,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P017,senior,69,en,0,1,1,1,1,1,4,5,0,0,1,0,0,0,1,1,1,1,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P018,senior,55,en,0,0,1,1,0,1,5,5,0,0,0,1,0,1,0,0,1,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P019,senior,59,en,0,1,1,1,1,1,3,5,0,0,1,0,0,0,1,1,0,1,0,1,8,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P020,senior,61,en,1,1,0,0,0,0,5,5,0,1,0,1,0,0,1,1,0,0,0,1,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P021,senior,70,en,1,1,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P022,senior,67,en,1,1,0,0,0,1,4,5,1,1,0,1,0,0,0,1,0,1,1,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P023,senior,70,en,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P024,senior,63,en,1,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P025,senior,62,en,1,1,0,0,0,0,1,4,0,0,1,1,0,1,0,0,0,1,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P026,senior,62,en,1,1,0,0,1,1,3,3,1,0,1,0,0,0,1,1,1,0,0,1,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P027,senior,63,en,1,1,0,1,0,0,3,5,1,0,0,1,1,1,1,0,1,1,0,1,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P028,senior,63,en,1,1,0,1,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P029,senior,72,en,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,9,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P030,senior,62,en,0,0,0,1,0,1,0,3,1,1,0,1,1,0,0,0,0,0,1,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P031,senior,55,en,0,1,0,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P032,senior,57,en,0,1,1,1,0,0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,6,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P033,senior,68,en,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,10,10,high,high,2025-11-15,synthetic sample row
2025-11-15,P034,senior,65,en,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P035,senior,64,en,1,1,0,0,0,1,4,5,1,0,1,0,0,1,0,1,0,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P036,senior,72,en,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P037,senior,64,en,1,1,0,1,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P038,senior,68,en,0,1,1,1,0,1,4,5,0,0,1,1,0,0,0,0,0,1,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P039,senior,75,en,1,1,0,1,1,1,2,2,1,1,1,0,0,0,0,1,0,1,0,1,9,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P040,senior,73,en,0,1,0,0,0,0,3,5,0,1,1,1,1,1,0,0,1,1,0,0,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P041,senior,65,en,0,0,1,1,1,1,3,5,0,1,1,1,0,1,0,1,0,0,0,0,7,7,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P042,senior,55,en,0,1,1,1,0,1,2,3,0,0,0,0,1,1,0,0,0,1,0,0,7,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P043,senior,69,en,0,0,0,1,0,0,5,5,0,1,0,0,0,0,1,0,0,1,1,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P044,senior,70,en,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P045,senior,74,en,1,1,1,1,0,1,2,2,0,1,1,1,0,0,0,0,0,1,1,0,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P046,senior,72,en,0,0,1,1,0,1,3,3,1,0,1,0,0,1,0,0,1,1,0,0,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P047,senior,67,en,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,1,0,1,10,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P048,senior,64,en,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P049,senior,56,en,1,1,1,1,0,1,5,5,1,0,0,1,1,1,0,0,0,1,0,1,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P050,senior,56,en,1,1,1,1,0,1,5,5,0,0,1,0,1,0,0,1,0,0,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P051,senior,75,en,1,1,1,1,0,0,5,5,0,0,0,1,1,1,0,1,1,0,0,0,6,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P052,senior,63,en,0,1,0,1,1,1,3,5,1,0,1,1,0,1,0,0,0,0,0,1,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P053,senior,73,en,0,0,1,1,0,1,1,4,0,1,1,1,0,1,0,0,0,1,1,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P054,senior,57,en,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,10,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P055,senior,72,en,1,1,0,1,1,1,3,3,1,1,1,1,0,0,0,1,0,0,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P056,senior,68,en,1,1,1,1,0,1,1,2,0,0,1,0,0,0,0,0,1,1,0,1,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P057,senior,64,en,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,7,7,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P058,senior,58,en,1,1,0,0,0,1,3,5,0,0,1,1,0,0,1,0,0,0,0,0,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P059,senior,58,en,0,1,1,1,0,0,3,5,0,0,1,0,0,1,0,0,0,0,0,0,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P060,senior,59,en,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P061,senior,55,en,0,1,0,0,1,1,5,5,1,1,0,1,0,0,0,1,0,1,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P062,senior,59,en,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P063,senior,71,en,0,0,1,1,0,1,4,5,0,1,1,0,1,0,0,0,0,1,0,0,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P064,senior,62,en,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P065,senior,74,en,1,1,0,0,0,1,5,5,1,0,1,0,1,1,0,1,1,0,0,0,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P066,senior,69,en,0,0,1,1,1,1,0,2,1,1,0,1,1,1,0,1,0,1,0,0,10,10,high,high,2025-11-15,synthetic sample row
2025-11-15,P067,senior,74,en,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P068,senior,63,en,1,1,1,1,0,0,3,5,0,1,1,0,0,0,0,1,0,0,0,0,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P069,senior,57,en,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P070,senior,66,en,0,1,1,1,0,1,5,5,0,0,0,1,1,1,1,1,0,1,1,0,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P071,senior,59,en,1,1,0,1,0,1,0,2,1,1,0,1,0,1,0,0,0,1,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P072,senior,70,en,0,1,0,0,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,7,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P073,senior,74,en,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,9,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P074,senior,75,en,0,1,0,1,0,0,5,5,1,0,1,0,1,0,0,0,0,1,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P075,senior,59,en,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P076,senior,74,en,0,1,1,1,0,0,4,5,1,1,0,0,1,1,0,0,0,1,0,0,8,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P077,senior,75,en,0,1,1,1,1,1,5,5,0,0,1,0,0,1,0,1,0,0,0,0,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P078,senior,62,en,1,1,0,1,0,1,5,5,0,0,1,0,0,1,0,1,0,1,0,0,6,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P079,senior,68,en,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P080,senior,63,en,0,1,0,1,1,1,4,5,1,0,0,1,0,0,0,0,0,1,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P081,senior,59,en,0,1,1,1,0,1,3,5,1,0,1,0,0,0,0,0,0,1,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P082,senior,74,en,1,1,1,1,0,1,1,4,0,1,0,0,0,0,1,0,0,1,0,0,6,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P083,senior,71,en,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,10,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P084,senior,74,en,0,1,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,6,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P085,senior,57,en,0,1,1,1,1,1,3,3,1,0,0,1,0,1,0,0,1,0,0,1,7,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P086,senior,71,en,0,1,1,1,0,1,3,5,0,0,1,0,0,0,0,0,1,1,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P087,senior,58,en,1,1,1,1,0,1,4,5,0,1,0,1,0,0,1,1,0,1,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P088,senior,73,en,0,1,0,1,0,1,0,2,1,0,0,1,1,0,0,0,0,1,1,0,9,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P089,senior,73,en,1,1,1,1,0,0,4,5,1,1,0,1,1,0,0,0,0,0,0,1,7,7,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P090,senior,69,en,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P091,senior,58,en,1,1,0,1,0,1,4,5,0,0,0,0,1,0,0,0,0,0,0,1,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P092,senior,57,en,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3,3,low,low,2025-11-15,synthetic sample row
2025-11-15,P093,senior,62,en,1,1,1,1,1,1,2,4,1,0,1,0,0,0,0,0,0,1,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P094,senior,61,en,1,1,1,1,1,1,2,3,1,0,0,1,0,0,1,0,1,0,0,0,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P095,senior,56,en,1,1,0,0,0,1,4,5,0,1,1,1,0,0,1,0,0,1,0,0,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P096,senior,67,en,0,1,0,0,1,1,3,3,0,1,1,1,1,0,0,0,0,0,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P097,senior,66,en,0,1,0,1,1,1,3,5,0,0,1,1,1,0,1,0,0,1,1,0,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P098,senior,56,en,1,1,0,1,1,1,5,5,1,0,0,0,0,0,0,0,0,1,0,1,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P099,senior,73,en,1,1,1,1,0,1,5,5,0,0,1,0,0,0,0,0,0,0,0,0,3,2,low,low,2025-11-15,synthetic sample row
2025-11-15,P100,senior,65,en,0,1,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,0,1,9,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P101,senior,70,en,0,1,1,1,1,1,2,5,0,0,0,0,0,0,0,1,1,0,0,0,6,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P102,senior,74,en,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P103,senior,74,en,0,1,0,1,0,1,5,5,0,0,0,1,1,0,0,1,0,1,0,0,9,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P104,senior,64,en,1,1,0,0,1,1,2,2,0,0,1,0,1,0,0,1,0,1,0,1,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P105,senior,69,en,0,1,0,1,1,1,4,5,0,0,0,1,0,0,0,1,0,1,1,1,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P106,senior,72,en,0,1,0,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,8,4,high,medium,2025-11-15,synthetic sample row
2025-11-15,P107,senior,73,en,0,0,1,1,1,1,3,5,1,0,1,0,0,0,1,0,1,1,0,0,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P108,senior,68,en,1,1,0,1,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P109,senior,68,en,1,1,1,1,0,1,3,5,1,0,1,0,1,1,0,1,0,1,1,1,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P110,senior,71,en,1,1,0,1,0,1,5,5,1,0,1,0,1,0,0,0,0,0,0,0,6,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P111,senior,75,en,0,0,1,1,0,0,2,3,1,0,1,0,0,0,1,0,0,1,0,0,9,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P112,senior,70,en,1,1,1,1,0,1,3,5,1,1,1,1,0,0,0,1,1,1,0,1,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P113,senior,61,en,0,0,0,0,1,1,5,5,1,1,0,0,0,0,0,1,0,1,0,0,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P114,senior,72,en,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P115,senior,74,en,0,1,1,1,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P116,senior,55,en,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,7,6,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P117,senior,69,en,0,1,1,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,6,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P118,senior,59,en,0,1,1,1,0,0,4,4,1,0,0,0,1,0,1,0,1,1,0,0,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P119,senior,73,en,1,1,1,1,0,1,2,5,0,0,1,1,1,1,0,0,1,1,0,0,8,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P120,senior,65,en,1,1,0,0,0,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,4,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P121,senior,64,en,0,0,1,1,0,0,3,5,1,1,1,1,1,1,0,0,0,1,0,0,10,10,high,high,2025-11-15,synthetic sample row
2025-11-15,P122,senior,74,en,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P123,senior,71,en,0,1,1,1,0,1,1,3,1,0,1,0,0,1,0,0,0,1,0,0,8,4,high,medium,2025-11-15,synthetic sample row
2025-11-15,P124,senior,64,en,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P125,senior,74,en,0,1,0,1,1,1,3,4,0,1,1,1,0,1,0,1,0,0,0,1,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P126,senior,55,en,0,1,0,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P127,senior,68,en,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P128,senior,75,en,1,1,0,1,0,1,2,3,1,0,1,1,1,0,1,1,0,1,0,0,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P129,senior,74,en,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,7,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P130,senior,56,en,1,1,0,1,0,1,2,5,0,1,0,1,0,0,0,1,1,1,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P131,senior,74,en,0,1,1,1,0,1,4,5,1,0,1,0,0,0,0,1,1,1,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P132,senior,58,en,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P133,senior,64,en,1,1,0,1,1,1,3,4,0,0,1,1,1,0,0,0,0,1,0,0,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P134,senior,62,en,1,1,1,1,0,1,4,5,0,0,0,0,1,0,1,1,0,0,0,0,5,4,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P135,senior,67,en,1,1,1,1,0,1,0,3,0,1,1,1,0,1,0,0,1,1,0,0,8,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P136,senior,73,en,0,1,1,1,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,1,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P137,senior,56,en,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,10,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P138,senior,71,en,1,1,1,1,0,1,5,5,0,0,1,0,0,1,0,0,1,1,0,1,6,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P139,senior,55,en,0,1,1,1,1,1,2,5,0,0,1,1,0,1,0,0,0,0,0,0,6,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P140,senior,75,en,0,1,1,1,0,0,3,5,1,1,1,1,0,0,1,0,0,0,0,0,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P141,senior,66,en,1,1,1,1,0,0,4,4,0,1,0,1,1,0,0,1,0,1,0,1,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P142,senior,69,en,0,1,1,1,0,1,4,5,1,1,1,1,0,0,1,1,0,1,0,1,10,9,high,high,2025-11-15,synthetic sample row
2025-11-15,P143,senior,72,en,0,1,1,1,1,1,1,3,1,1,1,1,1,0,0,0,0,1,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P144,senior,61,en,0,1,0,1,0,1,1,4,0,1,0,0,1,0,1,0,0,1,0,1,10,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P145,senior,70,en,0,1,0,1,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,6,2,medium,low,2025-11-15,synthetic sample row
2025-11-15,P146,senior,70,en,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P147,senior,64,en,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P148,senior,74,en,0,0,1,1,1,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,8,8,high,high,2025-11-15,synthetic sample row
